What is the highest level of education you have completed?,Of these appliances which is the most valuable?_Computer,Of these appliances which is the most valuable?_Electric Iron,Of these appliances which is the most valuable?_Fan,Of these appliances which is the most valuable?_Fridge,Of these appliances which is the most valuable?_Gas Stove,Of these appliances which is the most valuable?_Generator,Of these appliances which is the most valuable?_Grain Mill,Of these appliances which is the most valuable?_Grinder,Of these appliances which is the most valuable?_Irrigation Pump,Of these appliances which is the most valuable?_Mobile Phone,Of these appliances which is the most valuable?_Radio,Of these appliances which is the most valuable?_Stove,Of these appliances which is the most valuable?_TV,Of these appliances which is the most valuable?_Torch,Of these appliances which is the most valuable?_Water Pump
Bachelors or Masters,0.0,0.0,0.0,0.02127659574468085,0.02127659574468085,0.0,0.0425531914893617,0.0,0.0851063829787234,0.48936170212765956,0.0,0.02127659574468085,0.02127659574468085,0.0,0.10638297872340426
No formal education,0.0,0.004032258064516129,0.004032258064516129,0.0,0.008064516129032258,0.004032258064516129,0.036290322580645164,0.0,0.06451612903225806,0.3911290322580645,0.07661290322580645,0.004032258064516129,0.008064516129032258,0.03225806451612903,0.0967741935483871
Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.2
PhD or more,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Primary,0.0033333333333333335,0.0033333333333333335,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.006666666666666667,0.02666666666666667,0.0033333333333333335,0.05333333333333334,0.4033333333333333,0.12333333333333334,0.01,0.05333333333333334,0.01,0.08666666666666667
Secondary (high school),0.006666666666666667,0.0,0.0033333333333333335,0.0033333333333333335,0.01,0.0033333333333333335,0.023333333333333334,0.0,0.06,0.5133333333333333,0.08,0.0,0.05,0.006666666666666667,0.08666666666666667
Technical training,0.0,0.0,0.0,0.0,0.008928571428571428,0.0,0.017857142857142856,0.0,0.026785714285714284,0.48214285714285715,0.10714285714285714,0.017857142857142856,0.017857142857142856,0.0,0.16964285714285715
