Marital Status,annotation_Acceptance by others,annotation_Access to area,annotation_Access to finance,annotation_Accessibility to services,annotation_Aesthetics,annotation_Altruism,annotation_Appeal (senses),annotation_Aspiration,annotation_Asset,annotation_Availability of goods/products,annotation_Barter trade,annotation_Being healthy,annotation_Being informed,annotation_Being understood,annotation_Caring for others,annotation_Clean Air,annotation_Collaboration,annotation_Comfort,annotation_Community development,annotation_Connection,annotation_Consensus,annotation_Continuous costs,annotation_Diversity,annotation_Duty (role fulfilling),annotation_Ease of use,annotation_Entertainment,annotation_Entrepreneurship,annotation_Equality,annotation_Faith,annotation_Fixed costs,annotation_Food Security,annotation_Freedom of choice,annotation_Freedom of expression,annotation_Freedom to move,annotation_Home (feeling),annotation_Hygiene & Sanitation,annotation_Income,annotation_Innovation,annotation_Knowledge attainment (learning),annotation_Medical treatment,annotation_Mental health,annotation_Morality,annotation_Multipurpose,annotation_Ownership,annotation_Personal growth,annotation_Personal performance,annotation_Practical skill attainment,annotation_Preservation of natural environment,annotation_Privacy,annotation_Quality,annotation_Recreation,annotation_Reliability,annotation_Respect from others,"annotation_Safety (from animals, items, nature)",annotation_Security (from people),annotation_Self-worth,annotation_Shelter,annotation_Support network,annotation_Time benefit,annotation_Time management,annotation_Togetherness (loved ones),annotation_Tradition,annotation_Transportation (of goods),annotation_Travel (of people),annotation_Trust,annotation_Unburden,annotation_Understanding others,annotation_Water Security,annotation_Wellbeing,annotation_Yield
Divorced,0.0,0.0,0.08695652173913043,0.13043478260869565,0.08695652173913043,0.043478260869565216,0.0,0.043478260869565216,0.08695652173913043,0.13043478260869565,0.043478260869565216,0.21739130434782608,0.13043478260869565,0.0,0.13043478260869565,0.13043478260869565,0.0,0.08695652173913043,0.043478260869565216,0.30434782608695654,0.0,0.08695652173913043,0.0,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.0,0.30434782608695654,0.17391304347826086,0.34782608695652173,0.0,0.0,0.0,0.08695652173913043,0.17391304347826086,0.08695652173913043,0.043478260869565216,0.17391304347826086,0.08695652173913043,0.043478260869565216,0.13043478260869565,0.34782608695652173,0.08695652173913043,0.0,0.13043478260869565,0.08695652173913043,0.30434782608695654,0.08695652173913043,0.21739130434782608,0.0,0.17391304347826086,0.043478260869565216,0.34782608695652173,0.043478260869565216,0.08695652173913043,0.30434782608695654,0.21739130434782608,0.0,0.08695652173913043,0.043478260869565216,0.0,0.043478260869565216,0.13043478260869565,0.0,0.17391304347826086,0.08695652173913043,0.34782608695652173,0.043478260869565216,0.13043478260869565
Married,0.006493506493506494,0.025974025974025976,0.05584415584415584,0.1025974025974026,0.07532467532467532,0.005194805194805195,0.0,0.016883116883116882,0.02857142857142857,0.07532467532467532,0.03896103896103896,0.11168831168831168,0.16233766233766234,0.003896103896103896,0.032467532467532464,0.045454545454545456,0.0025974025974025974,0.05974025974025974,0.03116883116883117,0.24675324675324675,0.005194805194805195,0.045454545454545456,0.0025974025974025974,0.012987012987012988,0.02077922077922078,0.02727272727272727,0.04025974025974026,0.0012987012987012987,0.12597402597402596,0.06623376623376623,0.3,0.003896103896103896,0.005194805194805195,0.0012987012987012987,0.005194805194805195,0.07402597402597402,0.10519480519480519,0.01818181818181818,0.13116883116883116,0.09350649350649351,0.02207792207792208,0.04025974025974026,0.24155844155844156,0.015584415584415584,0.016883116883116882,0.02987012987012987,0.08051948051948052,0.2064935064935065,0.09090909090909091,0.08311688311688312,0.006493506493506494,0.07402597402597402,0.014285714285714285,0.2831168831168831,0.11298701298701298,0.011688311688311689,0.22857142857142856,0.07662337662337662,0.024675324675324677,0.014285714285714285,0.01818181818181818,0.011688311688311689,0.09480519480519481,0.10779220779220779,0.0,0.08311688311688312,0.007792207792207792,0.2545454545454545,0.01818181818181818,0.1038961038961039
Single,0.0,0.0472972972972973,0.05405405405405406,0.11486486486486487,0.08783783783783784,0.02702702702702703,0.006756756756756757,0.013513513513513514,0.013513513513513514,0.0945945945945946,0.013513513513513514,0.08783783783783784,0.14864864864864866,0.0,0.02702702702702703,0.05405405405405406,0.006756756756756757,0.07432432432432433,0.02027027027027027,0.25,0.0,0.0472972972972973,0.0,0.02027027027027027,0.033783783783783786,0.02027027027027027,0.04054054054054054,0.0,0.14189189189189189,0.0945945945945946,0.33783783783783783,0.0,0.0,0.0,0.006756756756756757,0.06756756756756757,0.12162162162162163,0.033783783783783786,0.10810810810810811,0.0945945945945946,0.04054054054054054,0.0472972972972973,0.28378378378378377,0.013513513513513514,0.02702702702702703,0.0472972972972973,0.08783783783783784,0.22972972972972974,0.11486486486486487,0.11486486486486487,0.006756756756756757,0.12837837837837837,0.0,0.33783783783783783,0.0945945945945946,0.006756756756756757,0.23648648648648649,0.04054054054054054,0.033783783783783786,0.013513513513513514,0.013513513513513514,0.0472972972972973,0.12837837837837837,0.08108108108108109,0.006756756756756757,0.08783783783783784,0.0,0.31756756756756754,0.02027027027027027,0.20270270270270271
Widowed,0.0,0.0375,0.0625,0.1625,0.1125,0.025,0.0125,0.025,0.0375,0.15,0.05,0.1,0.1625,0.0,0.05,0.05,0.0125,0.1,0.0125,0.25,0.0,0.075,0.0,0.0125,0.025,0.0125,0.05,0.0,0.1875,0.1125,0.35,0.0,0.0,0.0125,0.0125,0.0625,0.1125,0.025,0.1125,0.125,0.025,0.05,0.375,0.05,0.0375,0.0625,0.1,0.2625,0.1,0.1625,0.0,0.1125,0.0125,0.35,0.1125,0.0,0.275,0.1375,0.05,0.0125,0.0,0.025,0.125,0.1,0.0,0.125,0.0,0.325,0.0,0.1375
