Marital Status,Of these appliances which is the most valuable?_Computer,Of these appliances which is the most valuable?_Electric Iron,Of these appliances which is the most valuable?_Fan,Of these appliances which is the most valuable?_Fridge,Of these appliances which is the most valuable?_Gas Stove,Of these appliances which is the most valuable?_Generator,Of these appliances which is the most valuable?_Grain Mill,Of these appliances which is the most valuable?_Grinder,Of these appliances which is the most valuable?_Irrigation Pump,Of these appliances which is the most valuable?_Mobile Phone,Of these appliances which is the most valuable?_Radio,Of these appliances which is the most valuable?_Stove,Of these appliances which is the most valuable?_TV,Of these appliances which is the most valuable?_Torch,Of these appliances which is the most valuable?_Water Pump
Divorced,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.08695652173913043,0.4782608695652174,0.0,0.0,0.0,0.043478260869565216,0.17391304347826086
Married,0.0025974025974025974,0.0025974025974025974,0.007792207792207792,0.005194805194805195,0.011688311688311689,0.0012987012987012987,0.03116883116883117,0.0,0.05454545454545454,0.44155844155844154,0.08311688311688312,0.006493506493506494,0.04285714285714286,0.012987012987012988,0.1012987012987013
Single,0.006756756756756757,0.0,0.0,0.0,0.006756756756756757,0.013513513513513514,0.006756756756756757,0.0,0.06756756756756757,0.5067567567567568,0.06756756756756757,0.013513513513513514,0.02027027027027027,0.006756756756756757,0.0945945945945946
Widowed,0.0,0.0,0.0,0.025,0.0125,0.0125,0.0375,0.0,0.0375,0.4,0.225,0.0,0.0125,0.0125,0.075
