What is the highest level of education you have completed?,Of these appliances which is the least valuable?_Computer,Of these appliances which is the least valuable?_Electric Iron,Of these appliances which is the least valuable?_Electric Pressure Cooker,Of these appliances which is the least valuable?_Fan,Of these appliances which is the least valuable?_Fridge,Of these appliances which is the least valuable?_Gas Stove,Of these appliances which is the least valuable?_Generator,Of these appliances which is the least valuable?_Grain Mill,Of these appliances which is the least valuable?_Grinder,Of these appliances which is the least valuable?_Irrigation Pump,Of these appliances which is the least valuable?_Mobile Phone,Of these appliances which is the least valuable?_Radio,Of these appliances which is the least valuable?_Stove,Of these appliances which is the least valuable?_TV,Of these appliances which is the least valuable?_Torch,Of these appliances which is the least valuable?_Water Pump
Bachelors or Masters,0.06382978723404255,0.0425531914893617,0.0,0.3617021276595745,0.1276595744680851,0.0,0.0,0.0,0.0,0.0425531914893617,0.02127659574468085,0.0425531914893617,0.0425531914893617,0.02127659574468085,0.0,0.02127659574468085
No formal education,0.13306451612903225,0.028225806451612902,0.020161290322580645,0.12903225806451613,0.14112903225806453,0.04032258064516129,0.016129032258064516,0.020161290322580645,0.024193548387096774,0.04032258064516129,0.020161290322580645,0.016129032258064516,0.020161290322580645,0.06451612903225806,0.008064516129032258,0.016129032258064516
Other,0.0,0.0,0.2,0.2,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
PhD or more,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
Primary,0.09666666666666666,0.07333333333333333,0.03,0.21,0.17333333333333334,0.03333333333333333,0.01,0.013333333333333334,0.023333333333333334,0.02,0.013333333333333334,0.03,0.0033333333333333335,0.013333333333333334,0.03333333333333333,0.02
Secondary (high school),0.03333333333333333,0.08333333333333333,0.04,0.2633333333333333,0.19333333333333333,0.03333333333333333,0.05,0.016666666666666666,0.013333333333333334,0.023333333333333334,0.0,0.016666666666666666,0.013333333333333334,0.02666666666666667,0.013333333333333334,0.006666666666666667
Technical training,0.044642857142857144,0.11607142857142858,0.05357142857142857,0.17857142857142858,0.13392857142857142,0.03571428571428571,0.03571428571428571,0.017857142857142856,0.044642857142857144,0.026785714285714284,0.017857142857142856,0.008928571428571428,0.017857142857142856,0.026785714285714284,0.05357142857142857,0.008928571428571428
