Marital Status,Of these appliances which is the least valuable?_Computer,Of these appliances which is the least valuable?_Electric Iron,Of these appliances which is the least valuable?_Electric Pressure Cooker,Of these appliances which is the least valuable?_Fan,Of these appliances which is the least valuable?_Fridge,Of these appliances which is the least valuable?_Gas Stove,Of these appliances which is the least valuable?_Generator,Of these appliances which is the least valuable?_Grain Mill,Of these appliances which is the least valuable?_Grinder,Of these appliances which is the least valuable?_Irrigation Pump,Of these appliances which is the least valuable?_Mobile Phone,Of these appliances which is the least valuable?_Radio,Of these appliances which is the least valuable?_Stove,Of these appliances which is the least valuable?_TV,Of these appliances which is the least valuable?_Torch,Of these appliances which is the least valuable?_Water Pump
Divorced,0.08695652173913043,0.13043478260869565,0.0,0.17391304347826086,0.17391304347826086,0.043478260869565216,0.0,0.0,0.0,0.08695652173913043,0.0,0.043478260869565216,0.0,0.0,0.043478260869565216,0.0
Married,0.08831168831168831,0.06493506493506493,0.03896103896103896,0.2038961038961039,0.17142857142857143,0.02987012987012987,0.023376623376623377,0.015584415584415584,0.02077922077922078,0.02727272727272727,0.011688311688311689,0.01948051948051948,0.014285714285714285,0.033766233766233764,0.023376623376623377,0.015584415584415584
Single,0.02027027027027027,0.08783783783783784,0.013513513513513514,0.25,0.12837837837837837,0.05405405405405406,0.04054054054054054,0.02702702702702703,0.02027027027027027,0.02702702702702703,0.013513513513513514,0.033783783783783786,0.013513513513513514,0.02702702702702703,0.013513513513513514,0.006756756756756757
Widowed,0.1,0.0375,0.025,0.2,0.15,0.0375,0.025,0.0125,0.0375,0.025,0.0125,0.0,0.0125,0.025,0.025,0.0125
